SAMPLENAME	index	index_type
HAWX_3hm_20221121_T_1_PB__CD219_sampled_new12bp_42_S38_L002_R1_001.fastq	6289	unique barcodes
HAWX_5m_202319_B_PB__CD219_sampled_new12bp_50_S48_L002_R1_001.fastq	11	unique barcodes
HAWX_5m_202319_CD16p_PB__CD219_sampled_new12bp_8_S10_L002_R1_001.fastq	1379	unique barcodes
HAWX_5m_202319_CD56p_PB__CD219_sampled_new12bp_9_S24_L002_R1_001.fastq	874	unique barcodes
HAWX_5m_202319_DN_PB__CD219_sampled_new12bp_10_S12_L002_R1_001.fastq	239	unique barcodes
HAWX_5m_202319_Gr_PB__CD219_sampled_new12bp_51_S49_L002_R1_001.fastq	3390	unique barcodes
HAWX_5m_202319_Mono_PB__CD219_sampled_new12bp_6_S2_L002_R1_001.fastq	7	unique barcodes
HAWX_5m_202319_NKG2Ap_PB__CD219_sampled_new12bp_7_S9_L002_R1_001.fastq	1973	unique barcodes
HAWX_5m_202319_T_1_PB__CD219_sampled_new12bp_49_S47_L002_R1_001.fastq	4228	unique barcodes
HAWX_6m_2023213_B_PB_NA_CD220_sampled_new12bp_i525_S25_R1_001.fastq	1233	unique barcodes
HAWX_6m_2023213_CD16p_PB_NA_CD220_sampled_new12bp_i528_S28_R1_001.fastq	671	unique barcodes
HAWX_6m_2023213_CD56p_PB_NA_CD220_sampled_new12bp_i529_S29_R1_001.fastq	47	unique barcodes
HAWX_6m_2023213_DN_PB_NA_CD220_sampled_new12bp_i530_S30_R1_001.fastq	818	unique barcodes
HAWX_6m_2023213_Gr_PB_NA_CD220_sampled_new12bp_i557_S57_R1_001.fastq	3575	unique barcodes
HAWX_6m_2023213_Mono_PB_NA_CD220_sampled_new12bp_i526_S26_R1_001.fastq	3297	unique barcodes
HAWX_6m_2023213_T_PB_NA_CD220_sampled_new12bp_i524_S24_R1_001.fastq	3204	unique barcodes
HAWX_7m_2023313_B_PB_NA_CD220_sampled_old12bp_i539_S102_R1_001.fastq	5615	unique barcodes
HAWX_7m_2023313_CD16p_PB_NA_CD220_sampled_old8bp_i52_S105_R1_001.fastq	5268	unique barcodes
HAWX_7m_2023313_GRAN_PB_NA_CD221_sampled_old12bp_16_S85_R1_001.fastq	3614	unique barcodes
HAWX_7m_2023313_Mono_GFPn_PB_NA_CD220_sampled_old8bp_i51_S104_R1_001.fastq	6749	unique barcodes
HAWX_7m_2023313_Mono_GFPp_PB_NA_CD220_sampled_old12bp_i540_S103_R1_001.fastq	3459	unique barcodes
HAWX_7m_2023313_T_GFPneg_PB_NA_CD220_sampled_old12bp_i538_S101_R1_001.fastq	3049	unique barcodes
HAWX_7m_2023313_T_GFPp_PB_NA_CD220_sampled_old12bp_i537_S100_R1_001.fastq	8725	unique barcodes
HAWX_8hm_2023422_B_PB_NA_CD221_sampled_old12bp_19_S87_R1_001.fastq	2783	unique barcodes
HAWX_8hm_2023422_CD16_PB_NA_CD221_sampled_old12bp_22_S90_R1_001.fastq	5337	unique barcodes
HAWX_8hm_2023422_DN_PB_NA_CD221_sampled_old12bp_24_S91_R1_001.fastq	2304	unique barcodes
HAWX_8hm_2023422_GRAN_PB_NA_CD221_sampled_old12bp_21_S89_R1_001.fastq	3597	unique barcodes
HAWX_8hm_2023422_MONO_PB_NA_CD221_sampled_old12bp_20_S88_R1_001.fastq	3446	unique barcodes
HAWX_8hm_2023422_T_PB_NA_CD221_sampled_old12bp_17_S86_R1_001.fastq	2680	unique barcodes
HAWX_9hm_2023523_B_BAL_NA_CD221_sampled_new12bp_21_S21_R1_001.fastq	1086	unique barcodes
HAWX_9hm_2023523_MONO_PB_NA_CD221_sampled_old12bp_39_S102_R1_001.fastq	3192	unique barcodes
HAWX_9hm_2023523_Mac_BAL_NA_CD221_sampled_new12bp_23_S23_R1_001.fastq	1552	unique barcodes
HAWX_9hm_2023523_NK_BAL_NA_CD221_sampled_new12bp_22_S22_R1_001.fastq	326	unique barcodes
HAWX_9hm_2023523_T_BAL_NA_CD221_sampled_new12bp_20_S20_R1_001.fastq	1792	unique barcodes
HAWX_9hm_2023524_CD16_PB_NA_CD221_sampled_new12bp_64_S63_R1_001.fastq	893	unique barcodes
HAWX_9hm_2023524_CD56_PB_NA_CD221_sampled_new12bp_65_S64_R1_001.fastq	2054	unique barcodes
HAWX_9hm_2023524_DN_PB_NA_CD221_sampled_new12bp_66_S65_R1_001.fastq	325	unique barcodes
HAWX_9hm_2023524_NKG2A_PB_NA_CD221_sampled_new12bp_63_S62_R1_001.fastq	1218	unique barcodes
HAWX_9m_2023512_B1_PB_NA_CD221_sampled_old12bp_37_S100_R1_001.fastq	3150	unique barcodes
HAWX_9m_2023512_CD16_PB_NA_CD221_sampled_new12bp_61_S60_R1_001.fastq	1464	unique barcodes
HAWX_9m_2023512_DN_PB_NA_CD221_sampled_new12bp_62_S61_R1_001.fastq	981	unique barcodes
HAWX_9m_2023512_MONO_PB_NA_CD221_sampled_old12bp_38_S101_R1_001.fastq	3335	unique barcodes
HAWX_9m_2023512_NKG2A_PB_NA_CD221_sampled_new12bp_60_S59_R1_001.fastq	1255	unique barcodes
HAWX_9m_2023512_T2_PB_NA_CD221_sampled_old12bp_36_S99_R1_001.fastq	2018	unique barcodes
