SAMPLENAME	index	index_type
H64K_5m_2022725_CD16p_PB_NA_CD216_sampled_new12bp_27_S29_L001_L002_R1_001.fastq	2424	unique barcodes
H64K_5m_2022725_CD56p_PB_NA_CD216_sampled_new12bp_28_S27_L001_L002_R1_001.fastq	420	unique barcodes
H64K_5m_2022725_DN_PB_NA_CD216_sampled_new12bp_29_S28_L001_L002_R1_001.fastq	1018	unique barcodes
H64K_5m_2022725_Gr_PB_NA_CD216_sampled_new12bp_30_S30_L001_L002_R1_001.fastq	2728	unique barcodes
H64K_5m_2022725_Mono_PB_NA_CD216_sampled_new12bp_26_S20_L001_L002_R1_001.fastq	2560	unique barcodes
H64K_5m_2022725_T_1_PB_NA_CD216_sampled_new12bp_24_S24_L001_L002_R1_001.fastq	4745	unique barcodes
H64K_6hm_202298_B_1_PB__CD218_sampled_DA_8140_32_S32_L002_R1_001.fastq	3434	unique barcodes
H64K_6hm_202298_CD16p_PB__CD218_sampled_DA_8140_20_S20_L002_R1_001.fastq	2326	unique barcodes
H64K_6hm_202298_CD34p_LBM__CD218_sampled_DA_8140_26_S26_L002_R1_001.fastq	2571	unique barcodes
H64K_6hm_202298_CD56p_PB__CD218_sampled_DA_8140_19_S19_L002_R1_001.fastq	3078	unique barcodes
H64K_6hm_202298_DN_PB__CD218_sampled_DA_8140_18_S18_L002_R1_001.fastq	1126	unique barcodes
H64K_6hm_202298_Gr_LBM__CD218_sampled_DA_8140_46_S46_L002_R1_001.fastq	2723	unique barcodes
H64K_6hm_202298_Gr_PB__CD218_sampled_DA_8140_15_S15_L002_R1_001.fastq	2333	unique barcodes
H64K_6hm_202298_Gr_RBM__CD218_sampled_DA_8140_47_S47_L002_R1_001.fastq	2763	unique barcodes
H64K_6hm_202298_Mono_PB__CD218_sampled_DA_8140_21_S21_L002_R1_001.fastq	2470	unique barcodes
H64K_6hm_202298_NKG2Ap_PB__CD218_sampled_DA_8140_17_S17_L002_R1_001.fastq	752	unique barcodes
H64K_6hm_202298_T_1_PB__CD218_sampled_DA_8140_31_S31_L002_R1_001.fastq	3675	unique barcodes
